Comment,Description,Designator,Footprint,LibRef,Quantity

"0 ohm","Resistor","R305, R326, R327, R329","RESC1005N","Res1","4"
"0.010 ohm, 1% kelvin, 50ppm","","R210, R212, R302","OHMITE_LVK_1206_KELVIN","RES_4TERM","3"
"0.06F 3.3V coin supercap","Taiyo Yuden PAS414HR-VA5R","C108","TAIYO_YUDEN_PAS414HR-VA5R","Cap Pol3","1"
"0.1uF, 6.3V, X5R","Capacitor (Semiconductor SIM Model)","C102, C103, C104, C109, C114, C115, C116","CAPC0603N_B","Cap Semi","7"
"0.1uF, 25V, X5R","Capacitor (Semiconductor SIM Model)","C202, C203, C204, C206, C212, C216, C218, C219, C223, C300, C301, C302, C304, C305, C306, C308, C310, C311, C312, C313, C314, C315, C316, C317, C318, C319, C320, C322, C326","CAPC1005N","Cap Semi","29"
"0.22uF, 25V, X5R","Capacitor (Semiconductor SIM Model)","C309","CAPC1005N","Cap Semi","1"
"0.47uF, 16V, X5R","Capacitor (Semiconductor SIM Model)","C324, C325","CAPC1005N","Cap Semi","2"
"1.0uF, 25V, 20% X5R","Capacitor (Semiconductor SIM Model)","C113, C211, C214, C215, C222, C303, C307, C321","CAPC1608N","Cap Semi","8"
"1k, 1%","Resistor","R107, R306, R309, R310, R312, R318, R319, R330","RESC1005N","Res1","8"
"1k, 1% (DNP)","Resistor","R339","RESC1005N","Res1","1"
"1M, 1%","Resistor","R203, R301, R311","RESC1005N","Res1","3"
"1.4M, 1%","Resistor","R218","RESC1005N","Res1","1"
"2.1mm x 5.5mm DC jack","Low Voltage Power Supply Connector","JP200","CUI_PJ_002AH_SMT","PWR2.5","1"
"2.2nF, X7R, 10%","Capacitor (Semiconductor SIM Model)","C220","CAPC1005N","Cap Semi","1"
"2.2uF, 25V, 10% X5R","Capacitor (Semiconductor SIM Model)","C101, C117, C213","CAPC1608N","Cap Semi","3"
"3.01M, 1%","Resistor","R303, R304","RESC1005N","Res1","2"
"3.3uH, MSS1260-332NL (DNP)","Magnetic-Core Inductor","L200","COILCRAFT_MSS1048","Inductor Iron","1"
"3.3uH, XAL7030-322MEC","Magnetic-Core Inductor","L200B","COILCRAFT_XAL7030","Inductor Iron","1"
"3.9 ohm, 5%","Resistor","R211, R213","RESC1005N","Res1","2"
"4.7k, 1%","Resistor","R121","RESC1005N","Res1","1"
"5.1k, 1%","Resistor","R307, R308, R320, R338","RESC1005N","Res1","4"
"5.1k, 1% (DNP)","Resistor","R321","RESC1005N","Res1","1"
"6.8pF, NP0","","C110, C111","CAPC1005N","CAP NP","2"
"7.5k, 1%","Resistor","R219","RESC1005N","Res1","1"
"8.45k, 1%","Resistor","R331, R332","RESC1005N","Res1","2"
"10k, 1%","Resistor","R104, R105, R111, R112, R113, R114, R116, R118, R200, R205, R206, R208, R209, R216, R220, R222, R225, R226, R336, R337","RESC1005N","Res1","20"
"10k, 1% (DNP)","Resistor","R117","RESC1005N","Res1","1"
"10nF, X7R, 50V 10%","Capacitor (Semiconductor SIM Model)","C100, C112, C205, C217","CAPC1005N","Cap Semi","4"
"10 ohm, 1%","Resistor","R207","RESC1005N","Res1","1"
"10uF, 10V, X5R, 20%","Capacitor (Semiconductor SIM Model)","C323","CAPC1608N","Cap Semi","1"
"10uH LPS4018-103","Magnetic-Core Inductor","L101","COILCRAFT_LPS4018","Inductor Iron","1"
"20k, 1%","Resistor","R201, R224","RESC1005N","Res1","2"
"22uF, 25V, X5R, 10%","Capacitor (Semiconductor SIM Model)","C118, C201, C207, C209","CAPC3225N","Cap Semi","4"
"22uF, 25V, X5R, 10% (DNP)","Capacitor (Semiconductor SIM Model)","C208, C210","CAPC3225N","Cap Semi","2"
"38mil SMT pad","Connector","TP100, TP101, TP102, TP103, TP104, TP105, TP106, TP107","TP_SMT_38mil","CON1","8"
"47k, 1%","Resistor","R106, R109, R110, R119","RESC1005N","Res1","4"
"49.9k, 1%","Resistor","R221","RESC1005N","Res1","1"
"51pF, NP0","Capacitor (Semiconductor SIM Model)","C221","CAPC1005N","Cap Semi","1"
"61.9k, 1%","Resistor","R333, R335","RESC1005N","Res1","2"
"66.5k, 1%","Resistor","R215","RESC1005N","Res1","1"
"100, 1%","Resistor","R313, R314, R315, R316, R317, R325, R328","RESC1005N","Res1","7"
"100k, 1%","Resistor","R102, R108, R202, R204, R323, R324, R334","RESC1005N","Res1","7"
"100k, 1% (DNP)","Resistor","R322","RESC1005N","Res1","1"
"100pF, NP0","Capacitor (Semiconductor SIM Model)","C224","CAPC1005N","Cap Semi","1"
"130pF, NP0","Capacitor (Semiconductor SIM Model)","C225","CAPC1005N","Cap Semi","1"
"200k, 1%","Resistor","R217, R223","RESC1005N","Res1","2"
"300, 5%, 1W","Resistor","R300","RESC6432N","Res1","1"
"316k, 1%","Resistor","R214","RESC1005N","Res1","1"
"330, 1%","Resistor","R100, R101, R103, R115, R120","RESC1005N","Res1","5"
"Abracon ABS07-120-32.768KHZ-T 6pF CL","Crystal Oscillator","Y100","ABS07-120","XTAL","1"
"APT1608SGC green","Typical RED, GREEN, YELLOW, AMBER GaAs LED","D302, D303, D304, D305, D306","CD1608-0603","LED2","5"
"BAS16","Silicon diode","D300, D301, D307","SOT23-3N","Diode 1N4148","3"
"BAT54T1G","Schottky Diode","D100, D101, D200, D201, D202, D308","SOD123","D Schottky","6"
"BQ20Z95DBT","SBS 1.1-Compliant Gas Gauge and Protection with Impedance Track (TM)","U301","TSSOP50P640-44N","BQ20Z95DBT","1"
